y,x0,x1,x2,x3,x4,x5,x6,x7
5.1,1700.0,2.0,A0,,1320,,13,-1
2.95,1280.0,2.0,A0,,1080,,8,-1
3.08,2370.0,2.0,A0,3.0,2370,,49,-1
2.25,1910.0,2.0,A0,3.0,1910,,10,-1
15.25,3680.0,2.0,A0,3.0,2480,,79,-1
2.2,830.0,1.0,A0,3.0,830,,73,26
3.24,1500.0,1.5,A0,4.0,1500,,64,-1
4.45,1540.0,1.0,A0,3.0,1540,1540.0,51,-1
2.35,1430.0,1.5,A0,4.0,1430,,88,-1
1.75,1520.0,1.0,A0,4.0,1120,1740.0,48,-1
3.65,3690.0,1.0,A0,3.0,1890,2680.0,30,-1
3.24,2100.0,1.0,A0,3.0,2100,,5,-1
2.35,2130.0,2.0,A0,3.0,2130,2350.0,27,-1
4.6,1380.0,1.0,A0,4.0,860,,90,-1
6.3,2820.0,1.0,A0,3.0,1780,,36,-1
1.82,1800.0,1.0,A0,,1200,,54,-1
1.25,1920.0,1.0,A0,2.0,920,,101,-1
1.48,1360.0,1.0,A0,4.0,1360,,31,-1
5.33,2400.0,1.0,A0,3.0,1200,,59,-1
2.099,1160.0,2.0,A0,3.0,890,,9,-1
6.64375,2640.0,2.0,A0,4.0,2140,,109,-1
2.15,1520.0,1.0,A0,4.0,1520,,47,-1
1.035,1120.0,1.0,A0,3.0,1120,,42,-1
1.75,1590.0,1.0,A0,3.0,1130,1500.0,31,-1
8.95,4740.0,2.0,A0,,4740,,28,-1
2.35,1560.0,1.0,A0,4.0,780,,68,-1
2.40275,1440.0,1.0,A0,3.0,960,,64,-1
14.5,5850.0,2.0,A0,4.0,4410,4830.0,25,-1
6.54,3065.0,3.0,A0,,3065,,1,-1
5.41,2900.0,1.0,A0,3.0,1520,,56,-1
7.05,2560.0,2.0,A0,5.0,1690,1890.0,114,-1
2.2,1930.0,1.0,A0,3.0,1930,,48,-1
7.7,1600.0,2.0,A0,3.0,1600,,86,-1
4.75,2700.0,2.0,A0,,2700,,8,-1
2.35,1310.0,3.0,A0,3.0,1310,,12,-1
8.0,2220.0,1.0,A0,4.0,1220,,68,-1
4.86,1710.0,2.0,A0,3.0,1710,,11,-1
4.15,1620.0,3.0,A0,3.0,1620,1560.0,1,-1
6.1,1460.0,1.0,A0,4.0,1460,,59,-1
3.66,1540.0,1.0,A0,3.0,1540,1560.0,47,-1
1.74,1180.0,1.0,A0,,1180,,53,-1
12.32,2800.0,1.5,A0,5.0,1910,2450.0,83,13
2.85,2390.0,2.0,A0,3.0,2390,,16,-1
5.75,2530.0,1.5,A0,3.0,1720,,40,-1
6.05,1760.0,1.0,A0,4.0,1460,,55,-1
4.65,1320.0,2.0,A0,3.0,1320,,21,-1
3.75,1140.0,1.0,A0,3.0,840,,108,-1
2.67,2250.0,1.0,A0,3.0,2250,,23,-1
3.24,2800.0,2.0,A0,3.0,2800,,10,-1
4.05,1770.0,1.0,A0,5.0,1770,1780.0,43,-1
1.55,770.0,1.0,A0,4.0,770,780.0,67,-1
3.15,2240.0,2.0,A0,3.0,2240,,19,-1
2.04,1540.0,1.0,A0,3.0,1080,1220.0,41,-1
7.6,1910.0,1.5,A0,5.0,1910,1360.0,74,-1
6.73,2770.0,2.0,A0,,1970,,14,-1
1.4495,1500.0,1.0,A0,3.0,1150,,31,-1
1.5,1250.0,1.0,A0,3.0,1250,,48,-1
1.55,1510.0,2.0,A0,3.0,1510,,30,-1
5.0,1960.0,1.0,A0,4.0,1000,,47,-1
2.78,1210.0,1.0,A0,3.0,1210,,31,-1
9.25,2120.0,2.0,A1,5.0,2120,,76,52
4.85,1480.0,1.5,A0,3.0,1480,,35,-1
3.5,1950.0,2.0,A0,3.0,1950,2260.0,8,-1
1.81,1570.0,1.0,A0,3.0,1090,,19,-1
3.478,1820.0,1.0,A0,3.0,1340,,39,-1
2.45,1460.0,1.5,A0,4.0,1460,,60,-1
4.53,2020.0,2.0,A0,3.0,2020,,12,-1
1.57,1400.0,1.0,A0,4.0,1400,,39,-1
3.225,1030.0,1.0,A0,4.0,1030,,61,-1
3.87,1710.0,1.5,A0,3.0,1410,1860.0,87,-1
5.975,1580.0,1.0,A0,4.0,1330,,68,-1
7.65,2790.0,1.0,A0,3.0,1680,,56,-1
8.2,1710.0,1.5,A0,4.0,1710,1760.0,89,-1
4.44,1560.0,1.0,A0,4.0,1560,,42,-1
2.29,1320.0,3.0,A0,3.0,1320,,19,-1
1.035,900.0,1.0,A0,4.0,900,,54,-1
8.2,2160.0,1.0,A0,3.0,2160,,24,-1
26.75,4130.0,2.0,A1,4.0,2860,,22,-1
1.6,1660.0,2.0,A0,3.0,1660,,20,-1
6.24,1820.0,2.0,A0,3.0,1820,,78,28
0.32,670.0,1.0,A0,4.0,670,,67,-1
2.715,2150.0,1.5,A0,3.0,1290,1920.0,24,-1
1.85,1200.0,1.0,A0,,800,940.0,65,-1
2.4,3130.0,2.0,A0,3.0,3130,,9,-1
2.84,1990.0,2.0,A0,,1990,,18,-1
5.24,2970.0,1.0,A0,3.0,1510,2390.0,48,-1
4.5,1940.0,1.0,A0,4.0,1440,,74,-1
2.75,2480.0,1.0,A0,3.0,1240,,46,-1
5.1,1480.0,2.0,A0,4.0,1140,,71,-1
2.075,1670.0,2.0,A0,4.0,1670,1570.0,25,-1
6.9225,2170.0,2.0,A0,3.0,1710,,18,-1
11.65,2660.0,3.0,A0,,1870,,8,-1
3.15,1900.0,1.0,A0,3.0,1900,1740.0,11,-1
5.25,1900.0,1.5,A0,4.0,1440,2460.0,46,-1
3.48,1100.0,1.0,A0,5.0,1100,,51,-1
3.17,1940.0,2.0,A0,3.0,1940,,25,-1
2.64,1150.0,1.0,A0,5.0,1150,,49,-1
2.798,1370.0,1.0,A0,,1370,1620.0,51,-1
2.95,1360.0,1.0,A0,,1360,,49,-1
6.96,2420.0,2.0,A0,3.0,2420,,24,-1
4.75,1380.0,1.5,A0,3.0,1380,,115,15
2.08,1740.0,1.0,A0,3.0,1270,,68,-1
5.6,2490.0,2.0,A0,3.0,2490,,18,-1
0.53,910.0,1.0,A0,3.0,910,,60,-1
6.35,1790.0,1.0,A0,4.0,1040,,92,-1
3.25,3630.0,1.5,A0,3.0,2300,,36,-1
7.65,3730.0,2.0,A0,3.0,3730,,18,-1
3.4495,1870.0,1.0,A0,3.0,1870,,46,-1
3.9,3030.0,1.0,A0,3.0,1660,2740.0,35,-1
31.29,4810.0,2.0,A0,3.0,4810,,8,-1
1.725,2290.0,1.0,A0,3.0,2290,1240.0,79,62
6.96,1780.0,1.5,A0,4.0,1390,,88,-1
4.05,1040.0,1.0,A0,3.0,1040,,74,-1
2.5,1570.0,1.0,A0,4.0,1570,,48,-1
2.76358,1210.0,2.0,A0,3.0,1210,,1,-1
2.8,1250.0,1.0,A0,3.0,1250,,67,-1
1.65,1780.0,1.0,A0,4.0,1180,,65,-1
7.5075,2950.0,2.0,A0,3.0,2270,,3,-1
1.8,2555.0,2.0,A0,,2555,,9,-1
12.73,4640.0,2.0,A0,3.0,3210,3810.0,8,-1
1.25,930.0,1.0,A0,3.0,820,1220.0,72,-1
4.74,2034.0,1.0,A1,5.0,1159,,68,-1
6.04,3420.0,2.0,A0,3.0,3420,,11,-1
5.84,1180.0,2.0,A0,3.0,780,,1,-1
0.9,1150.0,1.0,A0,4.0,1150,,107,-1
5.55,2290.0,2.0,A0,3.0,2290,2290.0,38,-1
12.75,3300.0,2.0,A0,,3300,,30,-1
11.15,3330.0,2.0,A0,4.0,2610,3330.0,38,-1
3.31,1580.0,1.5,A0,4.0,1580,1700.0,87,-1
1.5,1200.0,1.0,A0,4.0,1200,1200.0,46,-1
2.273,3130.0,1.0,A0,4.0,1580,,42,-1
2.945,1300.0,1.0,A0,3.0,1300,,53,-1
3.25,2670.0,2.0,A0,,2670,2190.0,43,-1
4.55,1814.0,1.0,A0,4.0,944,,64,-1
6.77888,2420.0,2.0,A0,,2420,,28,-1
5.1,2060.0,2.0,A0,3.0,2060,2180.0,28,-1
2.25,1500.0,1.5,A0,4.0,1500,1270.0,82,-1
7.45,3260.0,2.0,A0,3.0,3260,,8,-1
2.6,950.0,1.0,A0,3.0,950,2270.0,47,-1
1.8,1440.0,1.0,A0,3.0,1440,,50,-1
3.7495,1800.0,1.5,A0,4.0,1800,1630.0,57,-1
3.4,1800.0,1.0,A0,4.0,1000,,92,-1
12.25,3400.0,2.0,A0,4.0,2290,,78,-1
2.95,1040.0,1.0,A0,3.0,1040,,69,-1
3.2495,1590.0,1.0,A0,3.0,1590,2780.0,17,-1
2.149,1899.0,2.0,A0,3.0,1899,2000.0,72,10
3.15,1340.0,2.0,A0,3.0,1120,,7,-1
3.5,1440.0,1.0,A0,3.0,870,,63,-1
9.75,2930.0,2.0,A0,,2930,,2,-1
5.0,940.0,1.0,A0,3.0,880,1420.0,74,-1
7.727,4230.0,2.0,A0,3.0,3860,,19,-1
6.2,2080.0,1.5,A0,4.0,2080,,91,-1
0.64,1410.0,1.0,A0,4.0,1410,,49,-1
2.55,1440.0,1.0,A0,4.0,1440,,37,-1
1.6395,1190.0,1.0,A0,3.0,1190,,64,-1
4.0499,2010.0,2.0,A0,3.0,1390,,1,-1
4.75,1650.0,1.0,A0,3.0,1650,2180.0,48,-1
6.24,1670.0,1.0,,3.0,1270,,63,-1
7.25,1930.0,2.0,A0,3.0,1930,,85,-1
7.8,2810.0,1.5,A0,4.0,2810,3330.0,27,-1
11.25,2160.0,2.0,A1,4.0,2160,2660.0,59,-1
5.22,2370.0,2.0,A0,3.0,2370,,20,-1
4.205,2130.0,1.0,A0,3.0,1720,,56,-1
4.7495,2160.0,2.0,A0,3.0,2160,,19,-1
1.7495,1370.0,1.0,A0,4.0,1370,1080.0,57,-1
3.75,1440.0,1.0,A0,3.0,1140,,59,-1
2.0,680.0,1.0,A0,2.0,680,1070.0,109,-1
6.125,1040.0,1.0,A0,4.0,1040,,60,-1
5.75,1910.0,1.0,A0,3.0,1300,1810.0,61,-1
3.25,1200.0,1.0,A0,4.0,1200,,53,-1
1.59,1200.0,2.0,A0,,1200,,12,-1
2.5,790.0,1.0,A0,3.0,790,,67,-1
3.875,2350.0,1.0,A0,3.0,1390,2350.0,38,-1
5.8,2320.0,2.0,A0,3.0,2320,,11,-1
6.55,2690.0,1.0,A0,4.0,1420,,63,-1
3.515,2960.0,2.0,A0,,2960,,10,-1
0.14,900.0,1.0,A0,4.0,900,,46,-1
1.83,2710.0,1.0,A0,4.0,1710,2070.0,48,-1
1.85,1650.0,1.0,A0,3.0,1010,,38,-1
1.85,1030.0,1.0,A0,3.0,1030,1380.0,68,-1
4.62,1990.0,2.0,A0,3.0,1990,,3,-1
3.0,1130.0,1.5,A0,3.0,1130,,61,-1
2.21,1560.0,2.0,A0,3.0,1560,1860.0,12,-1
2.91,1350.0,1.0,A0,3.0,1350,,38,-1
1.8,2800.0,1.0,A0,3.0,2800,1700.0,51,-1
1.565,2080.0,1.0,A0,4.0,1280,,30,-1
4.0,2300.0,2.0,A0,3.0,2300,1880.0,21,-1
4.7,2060.0,2.0,,3.0,2060,,28,-1
7.15,2050.0,1.0,A0,3.0,1450,2440.0,41,-1
2.91,1320.0,1.0,A0,3.0,660,,97,-1
6.07,2120.0,1.5,A0,4.0,1720,,105,-1
4.3,1830.0,1.0,A0,3.0,1010,,34,-1
6.8,2870.0,2.0,A0,3.0,2870,,31,-1
3.425,2270.0,1.0,A0,3.0,1340,1870.0,20,-1
2.965,1650.0,1.0,A0,4.0,980,1230.0,61,-1
2.6,990.0,1.0,A0,3.0,990,1450.0,45,-1
5.75,2560.0,2.0,A0,4.0,2560,1860.0,42,-1
3.97217,2010.0,2.0,A0,3.0,1390,,1,-1
5.06,2090.0,1.0,A0,4.0,1070,,52,-1
3.15,1320.0,1.0,A0,3.0,1320,,37,-1
3.65,1230.0,3.0,A0,,1230,,6,-1
4.28,1260.0,1.0,A0,4.0,750,,28,-1
5.25,2600.0,1.0,A0,4.0,1340,,52,-1
3.15,1000.0,1.0,A0,,1000,,68,-1
4.475,1640.0,1.5,A0,4.0,870,,72,-1
5.26,2160.0,2.0,A0,3.0,1660,,17,-1
4.019,1240.0,1.5,A0,4.0,960,,105,-1
0.92,1280.0,2.0,A0,4.0,1280,,30,-1
1.75,1650.0,2.0,A0,3.0,1650,,11,-1
11.25,2120.0,2.0,A0,3.0,2120,2090.0,110,-1
3.45,1060.0,1.0,A0,4.0,940,,92,-1
2.37,1750.0,2.0,A0,3.0,1750,,2,-1
6.14,2020.0,2.0,A0,4.0,2020,2250.0,61,-1
1.66,1520.0,1.0,A0,3.0,1520,,22,-1
1.31325,1720.0,1.5,A0,3.0,1720,,45,-1
11.83,4360.0,2.0,A0,3.0,3400,,8,-1
6.6,3100.0,2.0,A0,3.0,3100,,25,-1
3.225,1350.0,2.0,A0,3.0,1050,,8,-1
3.3245,1810.0,1.0,A0,3.0,1810,,48,-1
3.19,1450.0,1.0,A0,4.0,1150,,92,-1
2.6,2210.0,2.0,A0,3.0,2210,,12,-1
1.35,1160.0,1.0,A0,5.0,1160,1170.0,45,-1
3.0,2100.0,2.0,A0,4.0,2100,,40,-1
6.75,2640.0,2.0,A0,5.0,1840,,104,-1
1.5,2510.0,2.0,A0,3.0,2510,,27,-1
7.75,2870.0,2.0,A0,,2250,,20,-1
9.0,4270.0,1.0,A0,3.0,2680,,24,-1
8.95,3890.0,2.0,A0,3.0,3060,,11,-1
5.1,1910.0,2.5,A0,3.0,1530,,8,-1
8.77,3490.0,1.0,A0,3.0,2320,,35,-1
1.45,1900.0,1.0,A0,3.0,1260,,56,-1
3.25,1420.0,1.0,A0,4.0,1420,,52,-1
10.35,3350.0,2.0,A0,4.0,2510,,18,-1
8.9,2460.0,2.0,A0,5.0,1620,,77,-1
1.15,840.0,1.0,A0,,840,1010.0,21,-1
5.36,2134.0,2.5,A0,,2134,,7,-1
6.0,1510.0,2.0,A0,3.0,1220,1670.0,7,-1
3.9195,1360.0,1.0,,3.0,1060,1110.0,52,-1
4.88,2340.0,1.0,A0,4.0,1500,,43,-1
1.7,1380.0,1.0,A0,3.0,1380,1200.0,56,-1
2.25,1960.0,2.0,A0,3.0,1750,1760.0,12,-1
1.12,1050.0,1.0,A0,,1050,,41,-1
2.67,2380.0,2.0,A0,3.0,2380,,22,-1
1.62,1130.0,1.0,A0,3.0,1130,,61,-1
4.35,1060.0,1.0,A0,3.0,880,1910.0,90,-1
3.17,1790.0,1.0,A0,3.0,1220,,41,-1
5.95,2850.0,2.0,A0,4.0,2850,2480.0,26,-1
5.19,1270.0,2.0,A0,3.0,1060,1160.0,1,-1
5.45,1660.0,1.5,A0,4.0,1100,,86,-1
4.0,1380.0,3.0,A0,3.0,1380,,7,-1
2.75,2800.0,1.0,A0,3.0,1400,,52,-1
7.55,2810.0,1.0,A0,3.0,1540,3190.0,36,-1
2.775,2300.0,1.0,A0,,1840,,57,-1
4.45,1210.0,3.0,A0,3.0,1210,,1,-1
2.31,1450.0,1.0,A0,3.0,1010,,46,-1
4.75,2960.0,1.0,A0,4.0,1480,,55,-1
4.85,2270.0,2.0,A0,3.0,1880,,19,-1
0.965,1150.0,1.5,A0,,1150,1100.0,69,-1
1.79,1850.0,2.0,A0,3.0,1850,,12,-1
0.725,1230.0,1.0,A0,3.0,1230,,55,-1
1.59,1710.0,1.0,A0,3.0,1030,,40,-1
3.6,1910.0,1.0,A0,3.0,1910,,39,-1
1.84,1260.0,1.0,A0,3.0,1260,,3,-1
1.92,2510.0,1.0,A0,3.0,1610,,37,-1
41.33,7440.0,2.0,A0,3.0,5550,,12,-1
8.05,2070.0,1.5,A0,3.0,2070,,95,-1
3.9,1930.0,1.0,A0,4.0,1930,,47,-1
3.58,1710.0,1.5,A0,,1710,,65,-1
2.05,1860.0,2.0,A0,3.0,1860,,21,-1
4.645,3080.0,2.0,A0,3.0,3080,,25,-1
9.33,2650.0,2.0,A0,,2060,1470.0,14,-1
4.25,1360.0,2.0,A0,3.0,1140,,9,-1
2.59009,1650.0,1.0,A0,4.0,1650,1860.0,55,-1
1.79,1160.0,1.0,A0,4.0,1160,,57,-1
1.55,1390.0,1.0,A0,3.0,1390,,61,-1
1.35,1830.0,1.0,A0,3.0,1230,2050.0,62,-1
4.45,2030.0,2.0,A0,3.0,2030,,31,-1
1.6,2070.0,1.0,A0,,1060,1450.0,51,-1
3.89,1320.0,2.0,A0,,1320,1660.0,115,-1
4.75,1130.0,1.0,A0,3.0,880,2190.0,68,-1
2.05,1580.0,2.0,A0,3.0,1580,1650.0,21,-1
5.75,2870.0,2.0,A0,3.0,2870,,3,-1
4.0,2020.0,1.0,A0,4.0,1180,,34,-1
4.48,2660.0,2.0,A0,3.0,2660,,27,-1
15.25,3160.0,1.0,A0,4.0,1820,,49,-1
1.15,1100.0,2.0,A0,3.0,1100,,9,-1
5.0,1530.0,1.0,A0,4.0,890,1240.0,87,-1
2.96,1970.0,1.0,A0,3.0,1970,,47,-1
2.0,1820.0,1.0,A0,4.0,1080,,36,-1
1.25,1310.0,1.5,A0,3.0,1160,1090.0,70,-1
3.925,1830.0,1.0,A0,4.0,1830,1670.0,59,-1
1.55,1850.0,1.0,A0,4.0,1270,,71,-1
3.16,1490.0,1.0,A0,4.0,1490,,38,-1
6.6,3200.0,2.0,A0,3.0,2500,,2,-1
4.96,2140.0,2.0,A0,3.0,1960,2280.0,10,-1
10.25,2880.0,2.0,A0,4.0,1920,,89,-1
5.075,1159.0,1.0,A0,3.0,1159,1640.0,67,-1
6.02,2000.0,1.0,A0,4.0,1100,,99,-1
7.136,3500.0,2.0,A0,3.0,3500,,10,-1
1.775,1810.0,2.0,A0,3.0,1810,,28,-1
1.73,1180.0,1.0,A0,4.0,1180,,47,-1
3.5304,2150.0,2.0,A0,3.0,2150,2150.0,27,-1
3.6499,2340.0,2.0,A0,3.0,2340,,2,-1
3.44,1970.0,2.0,A0,3.0,1970,,11,-1
3.89,1630.0,1.0,A0,3.0,1630,,48,-1
4.2,2577.0,2.0,A0,3.0,2577,2090.0,15,-1
7.6,2120.0,2.0,A0,4.0,2120,,51,-1
7.15,2840.0,1.0,A0,4.0,1640,2790.0,54,-1
2.31,910.0,1.0,A0,3.0,910,,60,-1
1.69,1360.0,1.0,A0,4.0,1360,,32,-1
6.1,1660.0,1.5,A0,5.0,1280,1490.0,87,-1
3.16,1410.0,2.0,A0,3.0,1290,,11,-1
2.52,1070.0,1.0,A0,3.0,1070,,68,-1
1.267,1010.0,1.0,A0,,1010,,48,-1
3.48,1830.0,1.0,A0,3.0,1830,,64,-1
7.65,1680.0,3.0,A0,3.0,1680,1680.0,6,-1
2.75,1470.0,1.0,A0,3.0,1470,,66,-1
6.161,2360.0,1.0,A0,4.0,1710,,32,-1
1.55005,1030.0,1.0,A0,2.0,830,,64,-1
3.83,2020.0,1.0,A0,,1220,,58,-1
1.85,1810.0,1.0,A0,3.0,1230,1870.0,38,-1
12.75,4800.0,2.0,A0,3.0,3480,4050.0,17,-1
1.8,1220.0,1.0,,3.0,770,,105,-1
2.45,2280.0,2.0,A0,3.0,2280,,17,-1
4.3,1860.0,2.0,A0,4.0,1860,,28,-1
1.29,1460.0,1.0,A0,4.0,980,,35,-1
3.94,2240.0,1.0,A0,3.0,1520,2240.0,54,-1
4.4,3400.0,2.0,A0,3.0,3400,,10,-1
2.7,2020.0,2.0,A0,3.0,2020,,36,-1
2.35,1890.0,2.0,A0,3.0,1890,,12,-1
1.215,1320.0,1.0,A0,3.0,1320,1320.0,49,-1
14.75,5280.0,2.0,A0,3.0,3220,,37,-1
2.25,1320.0,1.0,A0,4.0,1320,1720.0,56,-1
2.8399,1710.0,2.0,A0,3.0,1400,,1,-1
4.708,1980.0,2.0,A0,3.0,1980,,26,-1
32.03,6840.0,2.5,A1,3.0,4350,,14,-1
7.03,2260.0,1.0,A0,5.0,1690,,41,-1
1.46,1150.0,1.0,A0,3.0,1150,,56,-1
3.895,2940.0,1.0,A0,3.0,1470,1580.0,60,-1
2.235,1890.0,2.0,A0,3.0,1890,,11,-1
7.5,4110.0,2.0,A0,4.0,2570,,36,-1
2.45,1110.0,3.0,A0,3.0,1110,,15,-1
2.249,1210.0,2.0,A0,,920,,7,-1
4.55,3230.0,1.0,A0,3.0,1880,,50,-1
5.825,1910.0,1.5,A0,3.0,1610,2170.0,103,-1
3.756,840.0,1.5,A0,4.0,840,1310.0,72,-1
